"","WBIC","LAKE_NAME","UNIQUE_ID","BRANCH","TOUCH_SHORE","IN_WATER","LATITUDE","LONGITUDE"
"81",1629500,"Big Portage Lake",16295008118,2,1,1,46.124853,-89.276178
"82",1629500,"Big Portage Lake",16295008218,2,1,1,46.124923,-89.276206
"83",1629500,"Big Portage Lake",16295008318,2,1,1,46.12497,-89.276204
"84",1629500,"Big Portage Lake",16295008418,0,1,1,46.125072,-89.27622
"85",1629500,"Big Portage Lake",16295008518,0,1,1,46.125114,-89.276219
"86",1629500,"Big Portage Lake",16295008618,1,0,1,46.125233,-89.276255
"87",1629500,"Big Portage Lake",16295008718,0,0,1,46.12547,-89.276349
"88",1629500,"Big Portage Lake",16295008818,0,0,1,46.1255,-89.276345
"89",1629500,"Big Portage Lake",16295008918,0,0,1,46.125519,-89.276337
"90",1629500,"Big Portage Lake",16295009018,0,1,1,46.125535,-89.276326
"91",1629500,"Big Portage Lake",16295009118,1,1,1,46.125553,-89.27632
"92",1629500,"Big Portage Lake",16295009218,1,1,1,46.125568,-89.276314
"93",1629500,"Big Portage Lake",16295009318,2,1,0,46.125583,-89.276302
"94",1629500,"Big Portage Lake",16295009418,2,0,1,46.125649,-89.276275
"95",1629500,"Big Portage Lake",16295009518,2,0,1,46.125668,-89.276255
"96",1629500,"Big Portage Lake",16295009618,0,0,1,46.12568,-89.276246
"97",2328700,"Papoose Lake",2328700118,2,1,0,46.239973,-89.608273
"98",2328700,"Papoose Lake",2328700218,2,1,0,46.189443,-89.807065
"99",2328700,"Papoose Lake",2328700318,2,1,0,46.189489,-89.807045
"100",2328700,"Papoose Lake",2328700418,2,1,0,46.189607,-89.806955
"101",2328700,"Papoose Lake",2328700518,2,1,0,46.189604,-89.806958
"102",2328700,"Papoose Lake",2328700618,2,1,1,46.189706,-89.806899
"103",2328700,"Papoose Lake",2328700718,0,1,1,46.189773,-89.806855
"104",2328700,"Papoose Lake",2328700818,1,0,1,46.189865,-89.806802
"105",2328700,"Papoose Lake",2328700918,0,1,1,46.190219,-89.806553
"106",2328700,"Papoose Lake",23287001018,0,0,1,46.19039,-89.806473
"107",2328700,"Papoose Lake",23287001118,0,0,1,46.190857,-89.806235
"108",2328700,"Papoose Lake",23287001218,0,0,0,46.190862,-89.806262
"109",2328700,"Papoose Lake",23287001318,2,1,0,46.19099,-89.806049
"110",2328700,"Papoose Lake",23287001418,2,1,0,46.19115,-89.805817
"111",2328700,"Papoose Lake",23287001518,0,1,1,46.191167,-89.805814
"112",2328700,"Papoose Lake",23287001618,0,0,1,46.191208,-89.805778
"113",2328700,"Papoose Lake",23287001718,0,0,1,46.191666,-89.805455
